match_id,season,round,match_code,league,home_team,away_team,result,elo_home,elo_away,avg_implied_1,avg_implied_x,avg_implied_2
s1_r11_UDI-NAP,1,11,UDI-NAP,ITA,Udinese,Napoli,X,1642.0,1908.0,0.24617777730400067,0.2641705908090275,0.5251789806821062
s1_r11_LJU-MAR,1,11,LJU-MAR,SLO,Olimpija Ljubljana,Maribor,X,1343.0,1357.0,,,
s1_r11_SLB-BRA,1,11,SLB-BRA,POR,Benfica,Braga,1,1794.0,1664.0,0.6329113924050632,0.2380952380952381,0.19607843137254904
s1_r11_RMA-OSA,1,11,RMA-OSA,SPA,Real Madrid,Osasuna,1,1917.0,1670.0,0.7407407407407408,0.19607843137254904,0.12195121951219512
s1_r11_AGF-VFF,1,11,AGF-VFF,SL,AGF,Viborg,1,1471.0,1464.0,0.45030947672881366,0.3022842084779152,0.30487457946260205
s1_r11_RIV-BOC,1,11,RIV-BOC,ARG,River Plate,Boca,1,,,0.6329113924050632,0.26315789473684215,0.19607843137254904
s1_r12_RMA-MCI,1,12,RMA-MCI,CL,Real Madrid,Manchester City,X,1917.0,2083.0,0.3225806451612903,0.273972602739726,0.45454545454545453
s1_r12_ACM-INT,1,12,ACM-INT,CL,AC Milan,Inter,2,1829.0,1885.0,0.3278688524590164,0.3125,0.40816326530612246
s1_r12_ROM-LEV,1,12,ROM-LEV,EL,Roma,Bayer Leverkusen,1,1783.0,1756.0,0.4761904761904762,0.30303030303030304,0.2777777777777778
s1_r12_JUV-SEV,1,12,JUV-SEV,EL,Juventus,Sevilla,X,1806.0,1755.0,0.5714285714285715,0.2777777777777778,0.2
s1_r12_WHU-AZ,1,12,WHU-AZ,ECL,West Ham,AZ Alkmaar,1,1787.0,1671.0,0.625,0.25,0.1851851851851852
s1_r12_BOL-BFC,1,12,BOL-BFC,ENG,Bolton,Barnsley,X,,,0.40964743504907525,0.30594974588101453,0.33954474297561127
s1_r12_SPA-SLA,1,12,SPA-SLA,TJE,Spanien,Slavia Prag,1,2028.0,1620.0,,,
s1_r12_BVB-GLA,1,12,BVB-GLA,TYS,Dortmund,Gladbach,1,1843.0,1683.0,0.7946592320719865,0.1417315715364236,0.09859326416289484
s1_r12_ARS-BHA,1,12,ARS-BHA,PL,Arsenal,Brighton,2,1921.0,1843.0,0.5648837309876923,0.23581948332561972,0.23313672254209153
s1_r12_AGF-FCN,1,12,AGF-FCN,SL,AGF,FC Nordsjælland,X,1471.0,1547.0,0.43067287494766865,0.2989745847640459,0.3276785879806047
s1_r13_INT-ACM,1,13,INT-ACM,CL,Inter,AC Milan,1,1885.0,1829.0,0.4809478654708137,0.29709510252165877,0.2569619994589583
s1_r13_MCI-RMA,1,13,MCI-RMA,CL,Manchester City,Real Madrid,1,2083.0,1917.0,0.6168951540345019,0.225968746070954,0.19319386108455322
s1_r13_AAB-FCK,1,13,AAB-FCK,DAN,AaB,FCK,2,,1626.0,0.16666666666666669,0.26315789473684215,0.625
s1_r13_LEV-ROM,1,13,LEV-ROM,EL,Bayer Leverkusen,Roma,X,1756.0,1783.0,0.4939363861788819,0.2923093473482225,0.2557457574453293
s1_r13_SEV-JUV,1,13,SEV-JUV,EL,Sevilla,Juventus,X,1755.0,1806.0,0.32379672641111895,0.30597307951704256,0.41107051179573
s1_r13_KOL-B93,1,13,KOL-B93,DAN,Kolding,B93,X,,,0.4878048780487805,0.29411764705882354,0.3225806451612903
s1_r13_LIV-AVI,1,13,LIV-AVI,PL,Liverpool,Aston Villa,X,1946.0,1825.0,0.6672485078275672,0.20464847513781967,0.16347536503470148
s1_r13_FCK-AGF,1,13,FCK-AGF,SL,FCK,AGF,1,1626.0,1471.0,0.556566305149238,0.26704643974376535,0.2296962789885283
s1_r13_SEV-BET,1,13,SEV-BET,SPA,Sevilla,Betis,X,1755.0,1750.0,0.43434511038517,0.2959680374376186,0.30975388795046704
s1_r13_SPO-SLB,1,13,SPO-SLB,POR,Sporting Lissabon,Benfica,X,1752.0,1794.0,0.3884075869748393,0.29467493818527557,0.4075450392522639
s1_r14_VIG-GIR,1,14,VIG-GIR,SPA,Celta Vigo,Girona,X,1651.0,1682.0,0.5048359056957108,0.27627249398707626,0.2621042040420825
s1_r14_AEK-PAO,1,14,AEK-PAO,GRÆ,AEK Athen,PAOK,1,1568.0,1532.0,0.5,0.2777777777777778,0.26315789473684215
s1_r14_FIO-INT,1,14,FIO-INT,ITA,Fiorentina,Inter,2,1758.0,1885.0,0.2777777777777778,0.28571428571428575,0.49390243902439024
s1_r14_BET-GET,1,14,BET-GET,SPA,Betis,Getafe,2,1750.0,1644.0,0.5090519059055196,0.30420804706490145,0.23847233034281762
s1_r14_MAU-CHE,1,14,MAU-CHE,PL,Manchester United,Chelsea,1,1865.0,1780.0,0.6088402476890659,0.23035238766828864,0.19984696305593155
s1_r14_COV-LUT,1,14,COV-LUT,ENG,Coventry,Luton,X,1578.0,1602.0,0.31656761829517444,0.3251899445931326,0.4079176570051655
s1_r14_CAR-STO,1,14,CAR-STO,ENG,Cardiff,Stoke,X,1449.0,1499.0,0.3260767856530922,0.31980711010323626,0.41536311766990497
s1_r14_ALM-VLL,1,14,ALM-VLL,SPA,Almeria,Valladolid,X,1601.0,1606.0,0.4400316790525758,0.2752186729359606,0.3243852627065757
s1_r14_JUV-ACM,1,14,JUV-ACM,ITA,Juventus,AC Milan,2,1806.0,1829.0,0.41783329253149615,0.2906814462302893,0.3259500167791352
s1_r14_LBK-AAB,1,14,LBK-AAB,SL,Lyngby,AaB,1,1351.0,,0.34288995139064343,0.27857235265887753,0.44061806817924704
s1_r15_RFC-AGF,1,15,RFC-AGF,SL,Randers,AGF,2,1405.0,1471.0,0.2680650387527913,0.27475781492722723,0.5086204152407426
s1_r15_IKB-OST,1,15,IKB-OST,SVE,Brage,Östersunds,1,,,0.4442265896526052,0.29551746207528146,0.3333104213946794
s1_r15_SEV-ROM,1,15,SEV-ROM,EL,Sevilla,Roma,X,1755.0,1783.0,0.36354001086754945,0.329269812590801,0.3403715119098406
s1_r15_HEE-TWE,1,15,HEE-TWE,HOL,Heerenveen,Twente,2,1494.0,1665.0,0.2950414642493026,0.26870296427207147,0.49108827285394163
s1_r15_STU-HSV,1,15,STU-HSV,TYS,Stuttgart,HSV Hamburg,1,1641.0,1596.0,0.625,0.2597402597402597,0.21739130434782608
s1_r15_ACH-LBK,1,15,ACH-LBK,SL,AC Horsens,Lyngby,X,,1351.0,0.35230801882911056,0.27806948279633587,0.4293057600980858
s1_r15_MCI-MAU,1,15,MCI-MAU,ENG,Manchester City,Manchester United,1,2083.0,1865.0,0.6562665715018012,0.21078549156592583,0.1619134613408539
s1_r15_RBL-FRA,1,15,RBL-FRA,TYS,RB Leipzig,Frankfurt,1,1817.0,1719.0,0.5813953488372093,0.24390243902439024,0.22727272727272727
s1_r15_BRA-FCP,1,15,BRA-FCP,POR,Braga,Porto,2,1664.0,1826.0,0.2985074626865672,0.28169014084507044,0.4878048780487805
s1_r15_GNK-ANT,1,15,GNK-ANT,BEL,Genk,Antwerpen,X,1599.0,1623.0,0.41342169022522124,0.27714467037496976,0.365578828820998
s1_r16_GIF-GAI,1,16,GIF-GAI,SVE,Sundsvall,GAIS,2,,,0.2686392400662081,0.27685947959652396,0.5224779100839037
s1_r16_COT-UNT,1,16,COT-UNT,TYS,Energie Cottbus,Unterhaching,2,,,0.5,0.28985507246376807,0.3076923076923077
s1_r16_FIO-WHU,1,16,FIO-WHU,ECL,Fiorentina,West Ham,2,1758.0,1787.0,0.36688220039851255,0.31243797771772003,0.3726258741380487
s1_r16_LVT-ALB,1,16,LVT-ALB,SPA,Levante,Albacete,1,1617.0,1506.0,0.33510141929814846,0.3388598600543933,0.37813741065622103
